username,password
user123,P@ssw0rdUSA
jenny14,Brasil$2023
pablo,901oojkjkjkjkj
rockstar,Esp@ña_Linda
fluffy22,Mex1c0_City
whiskers5,J@p@n_Cherry
tigerlily,It@lyPizza!
wanderlust,GermanY4Ever
sunsetlover,Australia@Sydney
musiclover,Ind1a_G@tes
puppylove,FluffyD0g!
crazy_cat,KittyL0ve$
doggodreams,Puppy$1234
maximus,M@x_the_Cat
guitarhero,R0cky_Ball
sparklingjoy,Sparky_D0g
charminglife,Ch@rlie&Me
petlover,FurryFr13nds
whiskersandpaws,Whiskers$1
luckycharm,LuckyP@w$
wanderer,M@r00n5
littlemonsters,L@dyGag@!
belieber,Just1n_B1eber
queenbee,Bey0nc3Crazy
navyseals,R1h@nn@_Fenty
selenator,Selen@G0mez
mendesarmy,Sh@wnMendes$
drakefan,Dr@ke@th3Gr@mmys
arianator,Ar14n@Gr@nde
swiftie,T@ylorSw1ft$
brayan,pruebadesifunciona
curron,mortadela
